Column1,link,rx_fcserrors,admin_status,rx_packets,tx_packets,poe_status,poe_power,auto_negotiation_status,time
299,FALSE,0,TRUE,0,0,TRUE,10.2,incomplete,2019-12-05T05:49
300,FALSE,0,TRUE,0,0,TRUE,10.4,incomplete,2019-12-05T05:50
301,FALSE,0,TRUE,0,0,TRUE,10.8,incomplete,2019-12-05T05:51
302,FALSE,0,TRUE,0,0,TRUE,11,incomplete,2019-12-05T05:52
303,FALSE,0,TRUE,0,0,TRUE,9.4,incomplete,2019-12-05T05:53
304,FALSE,0,TRUE,0,0,TRUE,10.4,incomplete,2019-12-05T05:54
305,FALSE,0,TRUE,0,0,TRUE,10.6,incomplete,2019-12-05T05:55
306,FALSE,0,TRUE,0,0,TRUE,9.4,incomplete,2019-12-05T05:58
307,FALSE,0,TRUE,0,0,TRUE,10,incomplete,2019-12-05T05:59
308,FALSE,0,TRUE,0,0,TRUE,9.4,incomplete,2019-12-05T06:00
309,FALSE,0,TRUE,0,0,TRUE,10.8,incomplete,2019-12-05T06:04
310,FALSE,0,TRUE,0,0,TRUE,9.4,incomplete,2019-12-05T06:05
311,FALSE,0,TRUE,0,0,TRUE,9.6,incomplete,2019-12-05T06:06
312,FALSE,0,TRUE,0,0,TRUE,9.6,incomplete,2019-12-05T06:07
313,FALSE,0,TRUE,0,0,TRUE,10,incomplete,2019-12-05T06:08
314,FALSE,0,TRUE,0,0,TRUE,10.6,incomplete,2019-12-05T06:09
315,FALSE,0,TRUE,0,0,TRUE,9.4,incomplete,2019-12-05T06:10
316,FALSE,0,TRUE,0,0,TRUE,10.4,incomplete,2019-12-05T06:11
317,FALSE,0,TRUE,0,0,TRUE,10,incomplete,2019-12-05T06:12
318,FALSE,0,TRUE,0,0,TRUE,9.6,incomplete,2019-12-05T06:13
319,FALSE,0,TRUE,0,0,TRUE,11.2,incomplete,2019-12-05T06:14
320,FALSE,0,TRUE,0,0,TRUE,9.8,incomplete,2019-12-05T06:15
321,FALSE,0,TRUE,0,0,TRUE,10.4,incomplete,2019-12-05T06:16
322,FALSE,0,TRUE,0,0,TRUE,9.4,incomplete,2019-12-05T06:17
323,FALSE,0,TRUE,0,0,TRUE,10.6,incomplete,2019-12-05T06:18
324,FALSE,0,TRUE,0,0,TRUE,9.6,incomplete,2019-12-05T06:19
325,FALSE,0,TRUE,0,0,TRUE,9.8,incomplete,2019-12-05T06:20
326,FALSE,0,TRUE,0,0,TRUE,9.4,incomplete,2019-12-05T06:21
327,FALSE,0,TRUE,0,0,TRUE,9.6,incomplete,2019-12-05T06:22
328,FALSE,0,TRUE,0,0,TRUE,9.4,incomplete,2019-12-05T06:23
